Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
23/2/2015, POCHO FERNANDEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 12, FLORIDA, FLORIDA, 572010, 6227170 
3/2/2015, FLORENCIO SANCHEZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 17, SORIANO, MERCEDES, 403760, 6320310 
21/9/2015, AVENIDA INGENIERO LUIS GIANNATTASIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 11, CANELONES, SOLYMAR, 594660, 6145830 
5/10/2015, RUTA SESENTA Y TRES, CAÍDA, LEVE, LUNES, 9, CANELONES, SANTA LUCIA, 556980, 6189125 
16/11/2015, ALITALIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 18, CANELONES, VILLA AEROPARQUE, 591320, 6149135 
10/8/2015, , DESPISTE, SIN LESIONADOS, LUNES, 7, FLORIDA, SIN DATOS, 629970, 6307660 
5/1/2015, AVENIDA INGENIERO LUIS GIANNATTASIO, CAÍDA, LEVE, LUNES, 13, CANELONES, PARQUE CARRASCO, 589615, 6141470 
5/10/2015, EUSEBIO PIRIZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 19, DURAZNO, DURAZNO, 544070, 6305640 
20/7/2015, GENERAL APARICIO SARAVIA, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, LUNES, 20, CANELONES, CANELONES, 566255, 6179310 
23/3/2015, PERU, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 16, CANELONES, SIN DATOS, 571965, 6159840 
10/11/2015, TOMAS PENINO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 0, SAN JOSE, DELTA DEL TIGRE Y VILLAS, 552830, 6153910 
31/7/2015, TUYUTI, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 9, CANELONES, LOMAS DE SOLYMAR, 597935, 6147100 
9/11/2015, SANTISIMA TRINIDAD, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 16, FLORES, TRINIDAD, 509430, 6291305 
14/7/2015, RUTA CESAR MAYO GUTIERREZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 20, CANELONES, PROGRESO, 570675, 6164480 
20/4/2015, JULIO CESAR GRAUERT, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 13, FLORIDA, FLORIDA, 571070, 6227235 
12/10/2015, WILSON FERREIRA ALDUNATE, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 18, CANELONES, SIN DATOS, 570960, 6157230 
5/10/2015, DOCTOR RICARDO BRACERAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 13, SORIANO, MERCEDES, 403700, 6320085 
17/8/2015, RUTA CIENTOUNO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 6, CANELONES, AEROPUERTO INTERNACIONAL DE CARRASCO, 590550, 6145805 
26/1/2015, COSTANERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 22, COLONIA, COLONIA DEL SACRAMENTO, 422470, 6186735 
26/10/2015, RAMBLA COSTANERA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 16, CANELONES, BARRA DE CARRASCO, 588660, 6139990 
28/9/2015, MANUEL D RODRIGUEZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 7, SAN JOSE, SAN JOSE DE MAYO, 526295, 6200965 
17/7/2015, , COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, VIERNES, 14, COLONIA, NUEVA PALMIRA, 369835, 6251240 
7/9/2015, CEIBAL, ATROPELLO DE PEATÓN, LEVE, LUNES, 14, CANELONES, SAN RAMON, 596015, 6204590 
27/4/2015, ECKENER, CAÍDA, GRAVE, LUNES, 20, SAN JOSE, LIBERTAD, 534780, 6166945 
4/5/2015, INGENIERO FERNANDEZ CAPURRO, CAÍDA, LEVE, LUNES, 8, DURAZNO, DURAZNO, 544020, 6308665 
4/12/2015, DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 12, FLORES, TRINIDAD, 509435, 6291500 
8/6/2015, BALTASAR BRUM, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 21, DURAZNO, DURAZNO, 544550, 6306770 
