Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
29/10/2016, AVENIDA DIECIOCHO DE JULIO, ATROPELLO DE PEATÓN, LEVE, SÁBADO, 10, MONTEVIDEO, MONTEVIDEO, 575055, 6137420 
8/12/2016, RUTA 1 , CAÍDA, LEVE, JUEVES, 19, MONTEVIDEO, MONTEVIDEO, 565375, 6143045 
4/6/2016, BELL, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 22, MONTEVIDEO, MONTEVIDEO, 571905, 6144765 
2/4/2016, REAL, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 14, MONTEVIDEO, MONTEVIDEO, 570820, 6141370 
27/8/2016, LUCAS OBES, ATROPELLO DE PEATÓN, LEVE, SÁBADO, 20, MONTEVIDEO, MONTEVIDEO, 573470, 6141460 
2/4/2016, DOCTOR JOSE TERRA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 22, MONTEVIDEO, MONTEVIDEO, 574990, 6140120 
6/8/2016, AVENIDA DIECINUEVE DE ABRIL, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 22, MONTEVIDEO, MONTEVIDEO, 572755, 6141400 
2/1/2016, AVENIDA FERNANDEZ CRESPO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 9, MONTEVIDEO, MONTEVIDEO, 574460, 6138560 
26/3/2016, AVENIDA GENERAL EUGENIO GARZON, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 18, MONTEVIDEO, MONTEVIDEO, 571335, 6146230 
16/11/2016, AVENIDA GENERAL FLORES, ATROPELLO DE PEATÓN, GRAVE, MIÉRCOLES, 17, MONTEVIDEO, MONTEVIDEO, 576885, 6143210 
4/6/2016, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 10, MONTEVIDEO, MONTEVIDEO, 576430, 6140900 
2/4/2016, VEINTISEIS DE MARZO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 17, MONTEVIDEO, MONTEVIDEO, 578280, 6136945 
10/12/2016, CALDERON DE LA BARCA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 16, MONTEVIDEO, MONTEVIDEO, 570575, 6148075 
2/4/2016, CAMINO CARLOS LOPEZ, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, SÁBADO, 5, MONTEVIDEO, MONTEVIDEO, 578240, 6148110 
24/12/2016, ARENAL GRANDE, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 1, MONTEVIDEO, MONTEVIDEO, 574960, 6138180 
3/9/2016, OSVALDO CRUZ, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 12, MONTEVIDEO, MONTEVIDEO, 578860, 6142990 
20/4/2016, JOSE ENRIQUE RODO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 18, MONTEVIDEO, MONTEVIDEO, 576020, 6137390 
25/6/2016, RAMBLA DOCTOR BALTASAR BRUM, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 14, MONTEVIDEO, MONTEVIDEO, 572960, 6139840 
14/4/2016, AVENIDA OCHO DE OCTUBRE, ATROPELLO DE PEATÓN, LEVE, JUEVES, 12, MONTEVIDEO, MONTEVIDEO, 576750, 6138905 
10/9/2016, DURAZNO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 2, MONTEVIDEO, MONTEVIDEO, 575965, 6136705 
14/5/2016, DOCTOR CARLOS MARIA DE PENA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 1, MONTEVIDEO, MONTEVIDEO, 572790, 6142645 
15/6/2016, ETIOPIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 19, MONTEVIDEO, MONTEVIDEO, 566120, 6139070 
18/5/2016, EDUARDO VICTOR HAEDO, ATROPELLO DE PEATÓN, LEVE, MIÉRCOLES, 18, MONTEVIDEO, MONTEVIDEO, 576090, 6138185 
12/10/2016, ETNA, ATROPELLO DE PEATÓN, LEVE, MIÉRCOLES, 22, MONTEVIDEO, MONTEVIDEO, 583445, 6140655 
16/1/2016, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 14, MONTEVIDEO, MONTEVIDEO, 575625, 6141465 
18/6/2016, AVENIDA GENERAL RIVERA, ATROPELLO DE PEATÓN, LEVE, SÁBADO, 12, MONTEVIDEO, MONTEVIDEO, 586890, 6139530 
11/6/2016, CAMINO MOLINOS DE RAFFO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 14, MONTEVIDEO, MONTEVIDEO, 571970, 6143205 
13/2/2016, COSTA RICA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 17, MONTEVIDEO, MONTEVIDEO, 586300, 6138935 
5/11/2016, CAMINO MALDONADO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 14, MONTEVIDEO, MONTEVIDEO, 579965, 6143860 
28/5/2016, AVENIDA GENERAL RIVERA, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, SÁBADO, 6, MONTEVIDEO, MONTEVIDEO, 579510, 6137720 
4/6/2016, CAMINO CIBILS, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 15, MONTEVIDEO, MONTEVIDEO, 566930, 6141215 
14/5/2016, CAMINO REPETTO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 17, MONTEVIDEO, MONTEVIDEO, 579525, 6147105 
30/1/2016, CAMINO DOMINGO ARENA, ATROPELLO DE ANIMALES, LEVE, SÁBADO, 18, MONTEVIDEO, MONTEVIDEO, 577120, 6146720 
23/7/2016, DOCTOR VALENTIN ALVAREZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 17, MONTEVIDEO, MONTEVIDEO, 570525, 6147885 
14/5/2016, JUAN JACOBO ROUSSEAU, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 11, MONTEVIDEO, MONTEVIDEO, 579025, 6141405 
17/12/2016, CAMINO CARRASCO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 6, MONTEVIDEO, MONTEVIDEO, 582040, 6140820 
7/5/2016, PAYSANDU, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 20, MONTEVIDEO, MONTEVIDEO, 574990, 6137825 
30/7/2016, RUTA DE ACCESO KM 3.300, CAÍDA, GRAVE, SÁBADO, 22, MONTEVIDEO, MONTEVIDEO, 569555, 6140635 
22/9/2016, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, JUEVES, 6, MONTEVIDEO, SIN DATOS, 567330, 6152890 
10/9/2016, AVENIDA JOSE BELLONI, CAÍDA, LEVE, SÁBADO, 8, MONTEVIDEO, MONTEVIDEO, 578835, 6147570 
27/2/2016, AVENIDA OCHO DE OCTUBRE, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 21, MONTEVIDEO, MONTEVIDEO, 578220, 6140255 
28/5/2016, GALICIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 9, MONTEVIDEO, MONTEVIDEO, 573520, 6137695 
6/2/2016, CAMINO SANGUINETTI, CAÍDA, GRAVE, SÁBADO, 21, MONTEVIDEO, MONTEVIDEO, 557105, 6142680 
9/4/2016, CUBA, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, SÁBADO, 7, MONTEVIDEO, MONTEVIDEO, 567755, 6139740 
19/3/2016, CAMINO CARMELO COLMAN, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 13, MONTEVIDEO, MONTEVIDEO, 570935, 6149145 
12/11/2016, JUAN JACKSON, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 19, MONTEVIDEO, MONTEVIDEO, 575545, 6136810 
20/8/2016, AVENIDA DOCTOR AMERICO RICALDONI, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 21, MONTEVIDEO, MONTEVIDEO, 576965, 6137900 
19/3/2016, BOULEVARD JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 9, MONTEVIDEO, MONTEVIDEO, 576215, 6141585 
20/2/2016, AVENIDA DAMASO ANTONIO LARRAÑAGA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 0, MONTEVIDEO, MONTEVIDEO, 577460, 6140390 
9/4/2016, ESTRELLA POLAR, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 13, MONTEVIDEO, MONTEVIDEO, 579415, 6150065 
16/7/2016, CAMINO CARRASCO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 7, MONTEVIDEO, MONTEVIDEO, 583845, 6140955 
27/2/2016, VEINTISEIS DE MARZO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 13, MONTEVIDEO, MONTEVIDEO, 577590, 6136530 
13/8/2016, RAMBLA REPUBLICA DE CHILE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 12, MONTEVIDEO, MONTEVIDEO, 581200, 6138115 
10/9/2016, AMEGHINO, COLISIÓN CON OBSTÁCULO EN CALZADA, GRAVE, SÁBADO, 21, MONTEVIDEO, MONTEVIDEO, 569740, 6142620 
31/3/2016, AVENIDA ITALIA, CAÍDA, LEVE, JUEVES, 12, MONTEVIDEO, MONTEVIDEO, 587210, 6140285 
