Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
16/12/2016, WILSON FERREIRA ALDUNATE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 8, TACUAREMBO, TACUAREMBO, 595515, 6490480 
13/8/2016, GENERAL LEANDRO GOMEZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 12, PAYSANDU, PAYSANDU, 397945, 6423790 
9/4/2016, PRESIDENTE VIERA Y SIN NOMBRE, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, SÁBADO, 5, RIVERA, RIVERA, 639060, 6579745 
20/8/2016, GENERAL LEANDRO GOMEZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 12, PAYSANDU, PAYSANDU, 398050, 6423775 
18/6/2016, LEDESMA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 22, PAYSANDU, PAYSANDU, 396555, 6423885 
30/4/2016, JOSE ENRIQUE RODO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 12, RIVERA, RIVERA, 638575, 6580955 
3/12/2016, GENERAL LEANDRO GOMEZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 10, PAYSANDU, PAYSANDU, 398195, 6423755 
4/6/2016, JOSE PEDRO VARELA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 20, RIO NEGRO, FRAY BENTOS, 378305, 6334350 
26/3/2016, WILSON FERREIRA ALDUNATE, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 19, ARTIGAS, ARTIGAS, 551680, 6635080 
28/4/2016, M. ORIBE Y C. ROXLO, ATROPELLO DE ANIMALES, GRAVE, JUEVES, 22, RIVERA, RIVERA, 639555, 6578700 
7/12/2016, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MIÉRCOLES, 14, RIO NEGRO, SIN DATOS, 403960, 6323705 
30/7/2016, AVENIDA MANUEL ORIBE, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 13, SALTO, SALTO, 410850, 6527255 
1/1/2016, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 19, RIVERA, VICHADERO, 719145, 6482260 
7/10/2016, AVENIDA GOBERNADOR DE VIANA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 21, SALTO, SALTO, 409975, 6526050 
5/3/2016, JOSE PEDRO VARELA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 21, RIO NEGRO, YOUNG, 441945, 6381715 
