Fecha, Edad, Rol, Calle, Zona, Tipo de resultado, Tipo de siniestro, Usa cinturón, Usa casco, Día de la semana, Sexo, Hora, Departamento, Localidad, Tipo de Vehiculo, X, Y 
12/9/2014, 27, PASAJERO  , NO SE INGRESO, RURAL     , ILESO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 17, TREINTA Y TRES, SIN DATOS, AUTO, 756535, 6362770 
7/2/2014, 38, CONDUCTOR , , SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 4, MALDONADO, SIN DATOS, AUTO, 687025, 6150420 
14/11/2014, 41, CONDUCTOR , AVENIDA JOSE BATLLE Y ORDOÑEZ, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 2, MALDONADO, MALDONADO, AUTO, 686990, 6136280 
14/11/2014, 50, CONDUCTOR , AVENIDA JOSE BATLLE Y ORDOÑEZ, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 2, MALDONADO, MALDONADO, OMNIBUS, 686990, 6136280 
14/11/2014, 19, CONDUCTOR , REPÚBLICA ARGENTINA Y FRANCIA (ROTONDA), URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, VIERNES, MASCULINO, 8, MALDONADO, PUNTA DEL ESTE, MOTO, 686975, 6132730 
14/11/2014, 24, CONDUCTOR , , URBANA    , HERIDO LEVE, CAÍDA, SIN DATOS, USA CASCO, VIERNES, FEMENINO, 6, MALDONADO, PUNTA DEL ESTE, MOTO, 688325, 6132095 
4/4/2014, 25, PASAJERO  , , RURAL     , ILESO, ATROPELLO DE ANIMALES, SIN DATOS, SIN DATOS, VIERNES, FEMENINO, 19, MALDONADO, SIN DATOS, AUTO, 694385, 6152210 
13/6/2014, 33, CONDUCTOR, RUTA 8 km. 160, SIN DATOS, FALLECIDO EN EL LUGAR, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 3, LAVALLEJA, SIN DATOS, OMNIBUS, 691430, 6216190 
30/5/2014, 27, CONDUCTOR , TUCUMAN, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 8, MALDONADO, PIRIAPOLIS, AUTO, 658300, 6139770 
3/1/2014, 48, PASAJERO  , , SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, FEMENINO, 22, MALDONADO, LA CAPUERA, AUTO, 670675, 6140470 
