Fecha, Edad, Rol, Calle, Zona, Tipo de resultado, Tipo de siniestro, Usa cinturón, Usa casco, Día de la semana, Sexo, Hora, Departamento, Localidad, Tipo de Vehiculo, X, Y 
1/5/2014, 18, CONDUCTOR , VEINTICINCO DE MAYO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, MASCULINO, 16, TACUAREMBO, TACUAREMBO, MOTO, 596765, 6491215 
18/9/2014, 21, CONDUCTOR , SILVAN FERNANDEZ, URBANA    , HERIDO LEVE, CAÍDA, SIN DATOS, NO USA CASCO, JUEVES, FEMENINO, 10, PAYSANDU, PAYSANDU, BICICLETA, 397200, 6424260 
18/9/2014, 39, CONDUCTOR , WASHINGTON, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, FEMENINO, 9, PAYSANDU, PAYSANDU, MOTO, 398575, 6424235 
18/9/2014, 43, CONDUCTOR , WASHINGTON, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, FEMENINO, 9, PAYSANDU, PAYSANDU, MOTO, 398575, 6424235 
20/3/2014, 36, CONDUCTOR , FLORENCIO SANCHEZ, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 20, RIVERA, RIVERA, AUTO, 638865, 6580645 
25/12/2014, 4, PASAJERO  , GENERAL FRUCTUOSO RIVERA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, FEMENINO, 14, SALTO, SALTO, MOTO, 409495, 6526645 
20/3/2014, 18, CONDUCTOR , NO SE INGRESO, RURAL     , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, FEMENINO, 16, ARTIGAS, SIN DATOS, AUTO, 530775, 6634105 
10/7/2014, 20, PEATÓN    , , SUBURBANA , HERIDO LEVE, DESPISTE, SIN DATOS, SIN DATOS, JUEVES, FEMENINO, 13, RIO NEGRO, SIN DATOS, SIN DATOS, 433425, 6386950 
3/7/2014, 56, CONDUCTOR , , URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, FEMENINO, 16, TACUAREMBO, TACUAREMBO, AUTO, 595450, 6490690 
9/1/2014, 19, CONDUCTOR , VEINTICINCO DE MAYO, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, FEMENINO, 15, TACUAREMBO, TACUAREMBO, MOTO, 596155, 6490570 
30/1/2014, 60, PEATÓN    , ANSINA, URBANA    , HERIDO LEVE, CAÍDA, SIN DATOS, SIN DATOS, JUEVES, FEMENINO, 15, RIVERA, RIVERA, SIN DATOS, 638480, 6581375 
25/12/2014, 27, PASAJERO  , AVENIDA JOSE ENRIQUE RODO, URBANA    , HERIDO LEVE, DESPISTE, SIN DATOS, SIN DATOS, JUEVES, FEMENINO, 5, SALTO, SALTO, AUTO, 410900, 6527770 
25/12/2014, 64, CONDUCTOR , AVENIDA JOSE ENRIQUE RODO, URBANA    , ILESO, DESPISTE, SIN DATOS, SIN DATOS, JUEVES, FEMENINO, 5, SALTO, SALTO, AUTO, 410900, 6527770 
24/4/2014, 52, CONDUCTOR , PASO EMETERIO, RURAL     , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 14, PAYSANDU, SIN DATOS, CAMION, 411080, 6465630 
10/7/2014, SIN DATOS, CONDUCTOR , JUAN MANUEL BLANES, URBANA    , ILESO, CAÍDA, SIN DATOS, NO USA CASCO, JUEVES, MASCULINO, 19, SALTO, SALTO, MOTO, 409700, 6527720 
30/1/2014, 28, PASAJERO  , RUTA 27 KM. 37. 200 - PARAJE PASO ATAQUES, RURAL     , ILESO, DESPISTE, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 16, RIVERA, SIN DATOS, AUTO, 656035, 6547425 
30/1/2014, 33, CONDUCTOR , RUTA 27 KM. 37. 200 - PARAJE PASO ATAQUES, RURAL     , ILESO, DESPISTE, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 16, RIVERA, SIN DATOS, AUTO, 656035, 6547425 
14/8/2014, 57, CONDUCTOR , DIECIOCHO DE JULIO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 15, RIO NEGRO, FRAY BENTOS, AUTO, 378305, 6334350 
10/7/2014, 32, PASAJERO  , INDEPENDENCIA, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, JUEVES, MASCULINO, 16, PAYSANDU, PAYSANDU, MOTO, 397420, 6423340 
10/7/2014, 58, CONDUCTOR , INDEPENDENCIA, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 16, PAYSANDU, PAYSANDU, AUTO, 397420, 6423340 
10/7/2014, 51, CONDUCTOR , OSIMANI Y LERENA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, FEMENINO, 15, SALTO, SALTO, AUTO, 408550, 6527485 
10/7/2014, 54, CONDUCTOR , OSIMANI Y LERENA, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, FEMENINO, 15, SALTO, SALTO, MOTO, 408550, 6527485 
29/5/2014, 43, CONDUCTOR , FLORENCIO SANCHEZ, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 6, RIVERA, RIVERA, AUTO, 638090, 6581140 
13/3/2014, 49, CONDUCTOR , MONTEVIDEO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, JUEVES, FEMENINO, 19, PAYSANDU, PAYSANDU, MOTO, 397760, 6423385 
9/1/2014, 80, CONDUCTOR , VEINTICINCO DE MAYO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 15, TACUAREMBO, TACUAREMBO, AUTO, 596155, 6490570 
14/8/2014, 20, CONDUCTOR , PIEDRAS, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, FEMENINO, 19, SALTO, SALTO, MOTO, 408970, 6525500 
14/8/2014, 19, CONDUCTOR , PIEDRAS, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, JUEVES, MASCULINO, 19, SALTO, SALTO, MOTO, 408970, 6525500 
14/8/2014, 38, CONDUCTOR , MONTEVIDEO, URBANA    , HERIDO LEVE, ATROPELLO DE ANIMALES, SIN DATOS, USA CASCO, JUEVES, MASCULINO, 18, PAYSANDU, PAYSANDU, MOTO, 397515, 6422265 
31/7/2014, 42, CONDUCTOR , JUNCAL, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, MASCULINO, 12, PAYSANDU, PAYSANDU, MOTO, 398735, 6422925 
5/6/2014, 50, CONDUCTOR , SEIS DE ABRIL, URBANA    , HERIDO GRAVE, CAÍDA, SIN DATOS, NO USA CASCO, JUEVES, MASCULINO, 19, SALTO, SALTO, MOTO, 410165, 6527720 
6/3/2014, SIN DATOS, CONDUCTOR , VEINTICINCO DE MAYO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 13, TACUAREMBO, TACUAREMBO, AUTO, 595590, 6489975 
26/6/2014, 51, CONDUCTOR , RUTA DE ACCESO A 3 KM, RURAL     , HERIDO GRAVE, ATROPELLO DE ANIMALES, SIN DATOS, USA CASCO, JUEVES, FEMENINO, 7, SALTO, SIN DATOS, MOTO, 429045, 6561515 
2/10/2014, 39, CONDUCTOR , BOLIVAR, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, JUEVES, FEMENINO, 16, PAYSANDU, PAYSANDU, MOTO, 398590, 6424330 
1/5/2014, 44, CONDUCTOR , NO SE INGRESO, RURAL     , ILESO, DESPISTE, SIN DATOS, SIN DATOS, JUEVES, MASCULINO, 20, PAYSANDU, SIN DATOS, AUTO, 442390, 6418405 
4/9/2014, 16, CONDUCTOR , , URBANA    , HERIDO LEVE, ATROPELLO DE ANIMALES, SIN DATOS, USA CASCO, JUEVES, FEMENINO, 12, SALTO, SALTO, MOTO, 411605, 6527955 
11/12/2014, 19, CONDUCTOR , PARAGUAY, URBANA    , HERIDO LEVE, DESPISTE, SIN DATOS, USA CASCO, JUEVES, FEMENINO, 13, ARTIGAS, ARTIGAS, MOTO, 550945, 6635305 
20/2/2014, 78, PASAJERO  , , URBANA    , ILESO, CAÍDA, SIN DATOS, USA CASCO, JUEVES, MASCULINO, 16, PAYSANDU, PAYSANDU, MOTO, 399340, 6424815 
11/9/2014, 17, PASAJERO  , YATAY Y CATALAN, SUBURBANA , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, JUEVES, FEMENINO, 18, SALTO, SALTO, MOTO, 409485, 6524890 
2/1/2014, 44, PEATÓN    , NO SE INGRESO, RURAL     , HERIDO GRAVE, DESPISTE, SIN DATOS, SIN DATOS, JUEVES, FEMENINO, 18, TACUAREMBO, SIN DATOS, SIN DATOS, 577020, 6435030 
