Fecha, Edad, Rol, Calle, Zona, Tipo de resultado, Tipo de siniestro, Usa cinturón, Usa casco, Día de la semana, Sexo, Hora, Departamento, Localidad, Tipo de Vehiculo, X, Y 
31/1/2014, 25, CONDUCTOR , MAL ABRIGO, URBANA    , HERIDO GRAVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, VIERNES, MASCULINO, 18, SAN JOSE, MAL ABRIGO, MOTO, 504470, 6221505 
31/1/2014, 31, CONDUCTOR , JOSE ENRIQUE RODO, URBANA    , HERIDO GRAVE, CAÍDA, SIN DATOS, NO USA CASCO, VIERNES, MASCULINO, 22, COLONIA, ROSARIO, MOTO, 467760, 6202160 
18/4/2014, 41, CONDUCTOR , NO SE INGRESO, SUBURBANA , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, VIERNES, MASCULINO, 20, CANELONES, TOTORAL DEL SAUCE, BICICLETA, 591860, 6163650 
18/4/2014, 42, CONDUCTOR , NO SE INGRESO, SUBURBANA , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, VIERNES, MASCULINO, 20, CANELONES, TOTORAL DEL SAUCE, MOTO, 591860, 6163650 
21/2/2014, 51, PASAJERO  , NO SE INGRESO, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, FEMENINO, 20, CANELONES, NEPTUNIA, AUTO, 604025, 6150920 
26/9/2014, 63, CONDUCTOR , CAMINO A PASO CALPINO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 5, CANELONES, SIN DATOS, AUTO, 571760, 6155705 
1/8/2014, 22, CONDUCTOR , APARICIO SARAVIA, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, VIERNES, FEMENINO, 3, DURAZNO, DURAZNO, MOTO, 544035, 6307520 
1/8/2014, SIN DATOS, CONDUCTOR , APARICIO SARAVIA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, VIERNES, MASCULINO, 3, DURAZNO, DURAZNO, MOTO, 544035, 6307520 
19/12/2014, SIN DATOS, CONDUCTOR , CESAR MAYO GUTIERREZ, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, VIERNES, MASCULINO, 17, CANELONES, SIN DATOS, MOTO, 570680, 6153865 
19/12/2014, 54, CONDUCTOR , CESAR MAYO GUTIERREZ, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 17, CANELONES, SIN DATOS, CAMION, 570680, 6153865 
19/12/2014, SIN DATOS, CONDUCTOR , AVENIDA JUAN MARIA PEREZ Y FUENTES, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, VIERNES, MASCULINO, 18, CANELONES, EL PINAR, OMNIBUS, 601035, 6148450 
