Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
9/2/2015, CUFRE, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 9, MONTEVIDEO, MONTEVIDEO, 575955, 6138295 
28/12/2015, CAMINO JOAQUIN MARTORI, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 20, MONTEVIDEO, MONTEVIDEO, 568270, 6141525 
15/6/2015, AVENIDA URUGUAY, CAÍDA, LEVE, LUNES, 9, MONTEVIDEO, MONTEVIDEO, 573335, 6137370 
20/7/2015, AVENIDA IDEARIO ARTIGUISTA, CAÍDA, LEVE, LUNES, 16, MONTEVIDEO, MONTEVIDEO, 565435, 6146450 
16/11/2015, BOULEVARD GENERAL ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 16, MONTEVIDEO, MONTEVIDEO, 574395, 6140955 
18/5/2015, AVENIDA GENERAL RIVERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 19, MONTEVIDEO, MONTEVIDEO, 577105, 6137375 
14/12/2015, CUFRE, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 8, MONTEVIDEO, MONTEVIDEO, 575850, 6139480 
3/8/2015, URUGUAYANA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 17, MONTEVIDEO, MONTEVIDEO, 572435, 6140900 
4/5/2015, ENRIQUE GARCIA PEÑA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 13, MONTEVIDEO, MONTEVIDEO, 574265, 6140830 
1/12/2015, JUAN BAUTISTA SAA, CAÍDA, LEVE, MARTES, 17, MONTEVIDEO, MONTEVIDEO, 570180, 6145320 
27/7/2015, SANTIAGO VAZQUEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 18, MONTEVIDEO, MONTEVIDEO, 577540, 6136730 
4/5/2015, GERONIMO PICCIOLI, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 15, MONTEVIDEO, MONTEVIDEO, 578395, 6142975 
15/6/2015, AVENIDA ALFONSINA STORNI, CAÍDA, LEVE, LUNES, 17, MONTEVIDEO, MONTEVIDEO, 572575, 6142625 
2/12/2015, AVENIDA ITALIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 20, MONTEVIDEO, MONTEVIDEO, 584225, 6139760 
6/7/2015, MALDONADO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 21, MONTEVIDEO, MONTEVIDEO, 575760, 6136825 
26/1/2015, BOULEVARD GENERAL ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 13, MONTEVIDEO, MONTEVIDEO, 576210, 6139275 
18/5/2015, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 12, MONTEVIDEO, MONTEVIDEO, 573950, 6142325 
17/8/2015, ANA MONTERROSO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 17, MONTEVIDEO, MONTEVIDEO, 575900, 6137670 
12/10/2015, AVENIDA ITALIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 15, MONTEVIDEO, MONTEVIDEO, 578575, 6139205 
13/7/2015, AVENIDA JOSE PEDRO VARELA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 1, MONTEVIDEO, MONTEVIDEO, 577630, 6141820 
12/1/2015, AVENIDA GENERAL SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 15, MONTEVIDEO, MONTEVIDEO, 574970, 6141655 
26/10/2015, JUAN MAC COLL, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 12, MONTEVIDEO, MONTEVIDEO, 571395, 6148105 
7/9/2015, CAMINO DURAN, COLISIÓN CON OBSTÁCULO EN CALZADA, GRAVE, LUNES, 17, MONTEVIDEO, MONTEVIDEO, 571380, 6148520 
31/8/2015, MERCEDES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 19, MONTEVIDEO, MONTEVIDEO, 575070, 6137660 
5/10/2015, PLACIDO ELLAURI, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 9, MONTEVIDEO, MONTEVIDEO, 578310, 6137185 
5/1/2015, CAMINO DOMINGO ARENA, CAÍDA, SIN LESIONADOS, LUNES, 20, MONTEVIDEO, MONTEVIDEO, 577120, 6146720 
18/5/2015, ALBERTO ZUM FELDE, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 14, MONTEVIDEO, MONTEVIDEO, 582850, 6139010 
23/3/2015, DOCTOR CARLOS MARIA DE PENA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 19, MONTEVIDEO, MONTEVIDEO, 572790, 6142645 
19/1/2015, JUAN MANUEL BLANES, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 13, MONTEVIDEO, MONTEVIDEO, 575645, 6136920 
10/8/2015, AVENIDA DE LAS INSTRUCCIONES, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 11, MONTEVIDEO, MONTEVIDEO, 574085, 6145110 
7/9/2015, MARIA ORTICOCHEA, CAÍDA, LEVE, LUNES, 11, MONTEVIDEO, MONTEVIDEO, 572990, 6143275 
9/2/2015, URUGUAYANA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 1, MONTEVIDEO, MONTEVIDEO, 572020, 6141445 
28/12/2015, VIVAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 14, MONTEVIDEO, MONTEVIDEO, 571250, 6148150 
3/3/2015, RUTA DE ACCESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 15, MONTEVIDEO, MONTEVIDEO, 571785, 6140640 
7/12/2015, RAMBLA EDISON, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 7, MONTEVIDEO, MONTEVIDEO, 573280, 6139190 
26/10/2015, AVENIDA OCHO DE OCTUBRE, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 11, MONTEVIDEO, MONTEVIDEO, 577305, 6139610 
7/9/2015, SALVADOR FERRER SERRA, ATROPELLO DE PEATÓN, LEVE, LUNES, 8, MONTEVIDEO, MONTEVIDEO, 575955, 6138295 
21/9/2015, FELICIANO RODRIGUEZ, CAÍDA, LEVE, LUNES, 16, MONTEVIDEO, MONTEVIDEO, 578125, 6137905 
26/8/2015, AVENIDA JOSE BELLONI, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 21, MONTEVIDEO, MONTEVIDEO, 578545, 6145880 
8/6/2015, RODOLFO RINCON, ATROPELLO DE ANIMALES, LEVE, LUNES, 14, MONTEVIDEO, MONTEVIDEO, 569980, 6143225 
1/6/2015, AVENIDA DAMASO ANTONIO LARRAÑAGA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 7, MONTEVIDEO, MONTEVIDEO, 577600, 6142180 
26/1/2015, DOCTOR MANUEL QUINTELA, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, LUNES, 1, MONTEVIDEO, MONTEVIDEO, 577750, 6138530 
31/8/2015, DIVINA COMEDIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 11, MONTEVIDEO, MONTEVIDEO, 585945, 6139050 
10/8/2015, CAMINO CIBILS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 14, MONTEVIDEO, MONTEVIDEO, 567245, 6139265 
13/1/2015, AVENIDA MILLAN, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 8, MONTEVIDEO, MONTEVIDEO, 573400, 6142810 
22/4/2015, DEFENSA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 7, MONTEVIDEO, MONTEVIDEO, 575470, 6138465 
9/2/2015, AVENIDA MARISCAL FRANCISCO SOLANO LOPEZ, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 19, MONTEVIDEO, MONTEVIDEO, 580120, 6138325 
14/9/2015, BOULEVARD APARICIO SARAVIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 9, MONTEVIDEO, MONTEVIDEO, 576410, 6144935 
19/10/2015, HIPOLITO YRIGOYEN, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 10, MONTEVIDEO, MONTEVIDEO, 580800, 6140885 
21/9/2015, MANUEL HERRERA Y OBES, CAÍDA, LEVE, LUNES, 7, MONTEVIDEO, MONTEVIDEO, 571170, 6142120 
9/2/2015, GENERAL URQUIZA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 17, MONTEVIDEO, MONTEVIDEO, 576665, 6138975 
30/3/2015, TIMBO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 17, MONTEVIDEO, MONTEVIDEO, 580585, 6142190 
16/11/2015, BOULEVARD GENERAL ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 11, MONTEVIDEO, MONTEVIDEO, 576285, 6138375 
28/12/2015, RAMBLA ARMENIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 18, MONTEVIDEO, MONTEVIDEO, 579940, 6137165 
2/3/2015, GALICIA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 10, MONTEVIDEO, MONTEVIDEO, 574695, 6137920 
