Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
19/11/2014, LUSSICH Y ESTANCISLAO GONZALEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 9, MALDONADO, SIN DATOS, 682615, 6138695 
3/4/2014, SANTA TERESA, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 11, MALDONADO, MALDONADO, 686985, 6135320 
24/10/2014, JOSE PEDRO VARELA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 13, MALDONADO, MALDONADO, 686390, 6135735 
23/5/2014, PEDRO AGORRODY, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 18, MALDONADO, SAN CARLOS, 690855, 6148390 
14/11/2014, CARMELO COLMAN, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 22, TREINTA Y TRES, TREINTA Y TRES, 744755, 6320130 
24/9/2014, AVENIDA EDUARDO FABINI, CAÍDA, LEVE, MIÉRCOLES, 20, LAVALLEJA, MINAS, 661820, 6195670 
12/9/2014, AGAPITO PARABERA, ATROPELLO DE PEATÓN, LEVE, VIERNES, 12, MALDONADO, MALDONADO, 688550, 6136755 
12/12/2014, CLAUDIO WILLIMAN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 14, MALDONADO, PUNTA DEL ESTE, 688105, 6130430 
17/4/2014, NO SE INGRESO, DESPISTE, LEVE, JUEVES, 15, ROCHA, VELAZQUEZ, 751145, 6229730 
5/12/2014, MARIO DE CORA Y CALLE 2, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 1, MALDONADO, PUNTA DEL ESTE, 688055, 6130025 
27/6/2014, ITUZAINGO Y TREINTA Y TRES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 10, LAVALLEJA, MARISCALA, 704870, 6230910 
30/5/2014, VEINTICINCO DE MAYO, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 18, LAVALLEJA, MINAS, 662250, 6194800 
11/4/2014, JOSE ELLAURI, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 17, LAVALLEJA, MINAS, 662585, 6194900 
