Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
12/20/2016,, TIMOTEO APARICIO, ATROPELLO DE ANIMALES, GRAVE, MARTES, 22, CERRO LARGO, MELO, 768745, 6414835 
3/11/2016,, GENERAL MANUEL ORIBE, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 12, CERRO LARGO, MELO, 766580, 6414300 
1/5/2016,, AVENIDA FRANKLIN DELANO ROOSEVELT, ATROPELLO DE PEATÓN, GRAVE, MARTES, 21, MALDONADO, PUNTA DEL ESTE, 687935, 6132585 
11/8/2016,, DOCTOR ANDRES CEBERIO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 17, MALDONADO, SAN CARLOS, 690085, 6147680 
12/23/2016,, AVENIDA EDUARDO VICTOR HAEDO (RUTA 10), CAÍDA, LEVE, VIERNES, 12, MALDONADO, LA BARRA, 695155, 6134500 
11/11/2016,, CALLE 7 Y 8 , ATROPELLO DE PEATÓN, LEVE, VIERNES, 19, MALDONADO, BARRIO HIPODROMO, 687995, 6140430 
11/29/2016,, LAUREANO ALONSO PEREZ Y LA PALOMA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 15, MALDONADO, SAN RAFAEL - EL PLACER, 691350, 6132965 
6/3/2016,, EL MENSAJERO, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, VIERNES, 1, TREINTA Y TRES, TREINTA Y TRES, 744945, 6318125 
1/29/2016,, JOSE ZULOAGA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 13, TREINTA Y TRES, VERGARA, 786320, 6350845 
12/30/2016,, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 11, MALDONADO, SAN CARLOS, 690615, 6147965 
4/29/2016,, JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 20, CERRO LARGO, MELO, 767010, 6414880 
1/22/2016,, RUTA 19 A 2KM DE RUTA 8, DESPISTE, LEVE, VIERNES, 5, TREINTA Y TRES, SIN DATOS, 737700, 6317615 
1/22/2016,, DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, VIERNES, 10, LAVALLEJA, MINAS, 661380, 6194995 
5/11/2016,, CORONEL CARBAJAL, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MIÉRCOLES, 13, LAVALLEJA, MINAS, 662375, 6194950 
12/30/2016,, GENERAL JUAN ANTONIO LAVALLEJA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 12, TREINTA Y TRES, TREINTA Y TRES, 743575, 6319425 
