Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
20/1/2014, INES DURAN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 11, FLORES, TRINIDAD, 508845, 6291820 
24/2/2014, RUTA OCHO VIEJA esq. AVENIDA L. ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, FATAL, LUNES, 20, CANELONES, PANDO, 596330, 6158800 
26/5/2014, RUTA 5 km. 219, COLISIÓN ENTRE VEHÍCULOS, FATAL, LUNES, 20, DURAZNO, SIN DATOS, 550275, 6339100 
11/2/2014, LOS AROMOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 9, CANELONES, COLONIA NICOLICH, 587645, 6147230 
23/6/2014, , DESPISTE, LEVE, LUNES, 14, CANELONES, SIN DATOS, 594575, 6154055 
9/6/2014, MANUEL DE CASTRO Y CAREAGA, COLISIÓN CON OBSTÁCULO EN CALZADA, GRAVE, LUNES, 8, SORIANO, MERCEDES, 403000, 6320490 
23/6/2014, DE LOS CHURRINCHES, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 17, CANELONES, LOMAS DE SOLYMAR, 596020, 6147200 
12/5/2014, FLORENCIO SANCHEZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 12, SORIANO, MERCEDES, 403955, 6320350 
10/11/2014, CALLE TOMAS BERRETA Y REP. ARGENTINA, CAÍDA, LEVE, LUNES, 18, CANELONES, JOAQUIN SUAREZ, 589385, 6156520 
10/11/2014, VEINTICINCO DE AGOSTO, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, LUNES, 13, FLORES, TRINIDAD, 510235, 6291460 
17/3/2014, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 11, CANELONES, PANDO, 595065, 6157535 
24/11/2014, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 15, SAN JOSE, SAN JOSE DE MAYO, 526050, 6199565 
9/12/2014, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 20, CANELONES, SIN DATOS, 612660, 6154200 
21/4/2014, , COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 23, SAN JOSE, DELTA DEL TIGRE Y VILLAS, 552860, 6153910 
21/10/2014, VEINTICINCO DE AGOSTO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 16, SAN JOSE, LIBERTAD, 535165, 6167740 
17/10/2014, , CAÍDA, LEVE, VIERNES, 18, DURAZNO, SIN DATOS, 599815, 6324545 
3/2/2014, NO SE INGRESO, DESPISTE, LEVE, LUNES, 16, FLORIDA, SIN DATOS, 554445, 6291845 
5/5/2014, , COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 7, DURAZNO, OMBUES DE ORIBE, 559895, 6315720 
21/4/2014, PANAMA, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, LUNES, 3, SAN JOSE, SAN JOSE DE MAYO, 527085, 6201805 
22/12/2014, NO SE INGRESO, DESPISTE, SIN LESIONADOS, LUNES, 16, DURAZNO, SIN DATOS, 547845, 6364570 
31/3/2014, , CAÍDA, LEVE, LUNES, 16, CANELONES, VILLA SAN FELIPE, 586195, 6158675 
5/5/2014, AVENIDA JOSE PEDRO VARELA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 8, CANELONES, PANDO, 595310, 6157715 
13/1/2014, , DESPISTE, LEVE, LUNES, 11, SAN JOSE, SAN JOSE DE MAYO, 525430, 6200820 
7/4/2014, DIECIOCHO DE JULIO, ATROPELLO DE PEATÓN, LEVE, LUNES, 14, DURAZNO, DURAZNO, 544275, 6306690 
22/12/2014, NO SE INGRESO, CAÍDA, GRAVE, LUNES, 3, FLORIDA, SIN DATOS, 660885, 6284090 
21/4/2014, LAURNAGA, DESPISTE, SIN LESIONADOS, LUNES, 13, CANELONES, PANDO, 595005, 6158025 
11/8/2014, NO SE INGRESO, ATROPELLO DE ANIMALES, SIN LESIONADOS, LUNES, 2, CANELONES, SIN DATOS, 584160, 6181520 
5/5/2014, , DESPISTE, SIN LESIONADOS, LUNES, 20, DURAZNO, SIN DATOS, 522775, 6324280 
13/10/2014, RUTA OCHENTA Y DOS, DESPISTE, SIN LESIONADOS, LUNES, 4, CANELONES, SIN DATOS, 600445, 6161425 
23/6/2014, NO SE INGRESO, CAÍDA, GRAVE, LUNES, 9, SAN JOSE, SIN DATOS, 519310, 6179010 
1/12/2014, NO SE INGRESO, CAÍDA, LEVE, LUNES, 21, CANELONES, SIN DATOS, 566995, 6186530 
