Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
5/18/2016,, CAMINO ELHORDOY, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, MIÉRCOLES, 6, MONTEVIDEO, SIN DATOS, 559330, 6143325 
8/15/2016,, RIMAC, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 17, MONTEVIDEO, MONTEVIDEO, 581980, 6138795 
8/10/2016,, NO SE INGRESO, DESPISTE, LEVE, MIÉRCOLES, 6, MONTEVIDEO, MONTEVIDEO, 586215, 6151020 
5/30/2016,, RINCON, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 18, MONTEVIDEO, MONTEVIDEO, 572700, 6137060 
3/14/2016,, CAMINO PASO CALPINO, CAÍDA, LEVE, LUNES, 7, MONTEVIDEO, SIN DATOS, 571940, 6152935 
11/29/2016,, AVENIDA DAMASO ANTONIO LARRAÑAGA, COLISIÓN CON OBSTÁCULO EN CALZADA, GRAVE, MARTES, 20, MONTEVIDEO, MONTEVIDEO, 577920, 6143455 
5/2/2016,, AVENIDA JOSE BELLONI, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 12, MONTEVIDEO, MONTEVIDEO, 578835, 6147570 
5/23/2016,, JUANICO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 22, MONTEVIDEO, MONTEVIDEO, 577790, 6140080 
1/20/2016,, EDUARDO RAIZ, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MIÉRCOLES, 18, MONTEVIDEO, MONTEVIDEO, 570925, 6147975 
9/5/2016,, GOES, ATROPELLO DE PEATÓN, LEVE, LUNES, 11, MONTEVIDEO, MONTEVIDEO, 576070, 6138515 
6/13/2016,, AVENIDA OCHO DE OCTUBRE, DESPISTE, LEVE, LUNES, 18, MONTEVIDEO, MONTEVIDEO, 577865, 6140010 
7/20/2016,, DOCTOR ALEJANDRO GALLINAL, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 18, MONTEVIDEO, MONTEVIDEO, 582605, 6138850 
1/27/2016,, LUIS CLUZEAU MORTET, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 7, MONTEVIDEO, MONTEVIDEO, 581520, 6140520 
8/22/2016,, BOULEVARD GENERAL ARTIGAS, CAÍDA, GRAVE, LUNES, 7, MONTEVIDEO, MONTEVIDEO, 574740, 6140975 
2/24/2016,, AVENIDA MILLAN, ATROPELLO DE PEATÓN, LEVE, MIÉRCOLES, 10, MONTEVIDEO, MONTEVIDEO, 571170, 6145025 
6/8/2016,, CAMINO MALDONADO, ATROPELLO DE PEATÓN, LEVE, MIÉRCOLES, 17, MONTEVIDEO, MONTEVIDEO, 580995, 6144835 
