Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
11/23/2016,, URUGUAY, CAÍDA, GRAVE, MIÉRCOLES, 14, PAYSANDU, PAYSANDU, 399230, 6423920 
1/6/2016,, MONTE CASEROS, CAÍDA, LEVE, MIÉRCOLES, 20, PAYSANDU, PAYSANDU, 398265, 6423305 
5/4/2016,, ZORRILLA DE SAN MARTIN, CAÍDA, LEVE, MIÉRCOLES, 17, PAYSANDU, PAYSANDU, 398255, 6424175 
6/29/2016,, PIEDRAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 8, RIO NEGRO, YOUNG, 440485, 6381520 
11/2/2016,, BILBAO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 7, SALTO, SALTO, 409420, 6527140 
3/2/2016,, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 0, TACUAREMBO, PASO DE LOS TOROS, 545605, 6369540 
5/25/2016,, ZORRILLA DE SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 16, SALTO, SALTO, 407930, 6527755 
12/14/2016,, RUTA CUATRO, DESPISTE, LEVE, MIÉRCOLES, 18, ARTIGAS, SIN DATOS, 532700, 6611475 
5/5/2016,, GENERAL JUAN ANTONIO LAVALLEJA, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 6, RIO NEGRO, FRAY BENTOS, 378980, 6334150 
9/21/2016,, NO SE INGRESO, DESPISTE, SIN LESIONADOS, MIÉRCOLES, 10, TACUAREMBO, SIN DATOS, 647015, 6468760 
3/23/2016,, , COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, MIÉRCOLES, 12, RIO NEGRO, SIN DATOS, 389480, 6329345 
4/13/2016,, ZORRILLA DE SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 21, SALTO, SALTO, 407865, 6527330 
9/7/2016,, NO SE INGRESO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, MIÉRCOLES, 6, RIO NEGRO, SIN DATOS, 402420, 6324675 
6/30/2016,, INTERSECCION DE ACCESOS AL BALNEARIO, ATROPELLO DE ANIMALES, SIN LESIONADOS, JUEVES, 20, RIO NEGRO, SIN DATOS, 374315, 6330040 
9/8/2016,, DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 21, PAYSANDU, PAYSANDU, 398125, 6424200 
1/2/2016,, , CAÍDA, GRAVE, SÁBADO, 18, SALTO, SIN DATOS, 447420, 6510365 
12/29/2016,, AVENIDA BLANDENGUES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 20, SALTO, SALTO, 410180, 6527830 
5/25/2016,, RUTA 29, ATROPELLO DE ANIMALES, SIN LESIONADOS, MIÉRCOLES, 21, RIVERA, SIN DATOS, 643700, 6506825 
10/12/2016,, DIECINUEVE DE ABRIL, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 9, RIVERA, MINAS DE CORRALES, 645150, 6505875 
2/11/2016,, VEINTICINCO DE AGOSTO, CAÍDA, LEVE, JUEVES, 5, TACUAREMBO, TACUAREMBO, 596500, 6490790 
11/10/2016,, AVENIDA PASCUAL HARRIAGUE, DESPISTE, LEVE, JUEVES, 20, SALTO, SALTO, 407100, 6524380 
9/28/2016,, WASHINGTON, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 20, PAYSANDU, PAYSANDU, 397955, 6424335 
8/11/2016,, AGRACIADA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, JUEVES, 1, RIVERA, RIVERA, 639295, 6580375 
4/20/2016,, AVENIDA 1825, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 10, RIVERA, RIVERA, 637915, 6581250 
10/19/2016,, JOSE PEDRO VARELA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 0, TACUAREMBO, TACUAREMBO, 596985, 6490870 
12/7/2016,, ITUZAINGO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 10, PAYSANDU, PAYSANDU, 399355, 6423440 
12/7/2016,, REPUBLICA ARGENTINA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 10, PAYSANDU, PAYSANDU, 399760, 6423595 
7/21/2016,, GENERAL LEANDRO GOMEZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 8, PAYSANDU, PAYSANDU, 398050, 6423775 
10/26/2016,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MIÉRCOLES, 12, RIVERA, SIN DATOS, 628180, 6551620 
7/6/2016,, RUTA KM 163, DESPISTE, LEVE, MIÉRCOLES, 11, ARTIGAS, SIN DATOS, 531290, 6608035 
2/10/2016,, RUTA 3. KM. 481, CAÍDA, LEVE, MIÉRCOLES, 18, SALTO, SIN DATOS, 411735, 6522235 
6/29/2016,, RIO BRANCO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MIÉRCOLES, 11, ARTIGAS, ARTIGAS, 551085, 6636860 
7/20/2016,, AVENIDA JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 17, SALTO, SALTO, 410370, 6527320 
12/14/2016,, MANUEL ORIBE, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 16, RIVERA, RIVERA, 639430, 6578200 
9/28/2016,, MISIONES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 0, SALTO, SALTO, 408610, 6525240 
3/9/2016,, GENERAL APARICIO SARAVIA, CAÍDA, LEVE, MIÉRCOLES, 18, TACUAREMBO, TACUAREMBO, 596310, 6491650 
9/8/2016,, PABLO G. RIOS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 8, TACUAREMBO, TACUAREMBO, 597335, 6489600 
3/16/2016,, GENERAL FLORES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 18, TACUAREMBO, TACUAREMBO, 596570, 6490720 
10/13/2016,, AVENIDA DE LOS IRACUNDOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 21, PAYSANDU, PAYSANDU, 397305, 6426130 
11/30/2016,, DAMASO ANTONIO LARRAÑAGA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 14, SALTO, SALTO, 408160, 6526660 
7/28/2016,, HECTOR GUTIERREZ RUIZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 22, SALTO, SALTO, 409260, 6526935 
12/22/2016,, WASHINGTON, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 11, PAYSANDU, PAYSANDU, 398045, 6424320 
8/17/2016,, CAMINO ARROYO MALO , DESPISTE, LEVE, MIÉRCOLES, 19, PAYSANDU, SIN DATOS, 410210, 6465530 
11/16/2016,, GENERAL LEANDRO GOMEZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 14, PAYSANDU, PAYSANDU, 397735, 6423820 
2/25/2016,, GENERAL JOSE G. ARTIGAS, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, JUEVES, 1, SALTO, SALTO, 408725, 6526840 
10/27/2016,, , ATROPELLO DE PEATÓN, LEVE, JUEVES, 17, RIO NEGRO, SIN DATOS, 408775, 6382185 
1/14/2016,, MONTE CASEROS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 23, PAYSANDU, PAYSANDU, 398265, 6423305 
5/11/2016,, JOSE RAFFO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 12, SALTO, SALTO, 410260, 6527340 
7/2/2016,, SATURNINO RIBES, CAÍDA, LEVE, SÁBADO, 19, SALTO, SIN DATOS, 407505, 6530415 
12/22/2016,, GENERAL JUAN ANTONIO LAVALLEJA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, JUEVES, 10, ARTIGAS, ARTIGAS, 551755, 6636110 
7/21/2016,, AMORIN, ATROPELLO DE PEATÓN, LEVE, JUEVES, 17, SALTO, SALTO, 408265, 6528225 
1/27/2016,,  AVENIDA MANUEL ORIBE, DESPISTE, LEVE, MIÉRCOLES, 14, RIVERA, RIVERA, 640435, 6580020 
5/12/2016,, TREINTA Y TRES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 10, TACUAREMBO, TACUAREMBO, 596300, 6490290 
1/13/2016,, CAMINO ARAUJO, CAÍDA, GRAVE, MIÉRCOLES, 15, PAYSANDU, SIN DATOS, 424710, 6458885 
4/13/2016,, AVENIDA BRASIL ESQUINA MANUEL ORIBE, ATROPELLO DE ANIMALES, LEVE, MIÉRCOLES, 13, RIVERA, RIVERA, 640190, 6579680 
9/29/2016,, AVENIDA CORONEL CARLOS LECUEDER, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 11, ARTIGAS, ARTIGAS, 551450, 6636805 
3/10/2016,, GENERAL FRUCTUOSO RIVERA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 20, SALTO, SALTO, 408445, 6526745 
5/18/2016,, AVENIDA BERNABE RIVERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 17, RIVERA, RIVERA, 638020, 6582390 
9/8/2016,, PIEDRAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 16, RIO NEGRO, YOUNG, 441030, 6381940 
8/10/2016,, DOCTOR CATALINA, CAÍDA, SIN LESIONADOS, MIÉRCOLES, 9, TACUAREMBO, TACUAREMBO, 596575, 6490440 
4/27/2016,, GENERAL LEANDRO GOMEZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 19, PAYSANDU, PAYSANDU, 398195, 6423755 
10/19/2016,, ZORRILLA DE SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 11, PAYSANDU, PAYSANDU, 398180, 6423660 
5/4/2016,, MARIA O. PINTOS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 14, TACUAREMBO, TACUAREMBO, 596370, 6490225 
5/26/2016,, BRASIL, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 11, SALTO, SALTO, 407975, 6527205 
7/21/2016,, ZORRILLA DE SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 13, PAYSANDU, PAYSANDU, 398045, 6422720 
1/14/2016,, CHARRUAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 14, PAYSANDU, PAYSANDU, 397835, 6424250 
8/18/2016,, ESPAÑA, ATROPELLO DE PEATÓN, LEVE, JUEVES, 19, RIO NEGRO, FRAY BENTOS, 378100, 6334115 
6/15/2016,, ENTRE RIOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 20, PAYSANDU, PAYSANDU, 397065, 6424670 
11/10/2016,, CAMINO A CASA BLANCA, CAÍDA, LEVE, JUEVES, 21, PAYSANDU, CASABLANCA, 391390, 6415085 
6/30/2016,, NO SE INGRESO, COLISIÓN CON OBSTÁCULO EN CALZADA, GRAVE, JUEVES, 0, TACUAREMBO, TACUAREMBO, 597610, 6490425 
6/16/2016,, FRATERNIDAD, CAÍDA, SIN LESIONADOS, JUEVES, 11, PAYSANDU, GUICHON, 481405, 6419560 
8/24/2016,, SALTO, CAÍDA, LEVE, MIÉRCOLES, 21, PAYSANDU, PAYSANDU, 398770, 6424870 
7/27/2016,, URUGUAY, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 20, PAYSANDU, PAYSANDU, 399075, 6423945 
6/8/2016,, AVENIDA MANUEL PATULE, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 16, SALTO, SALTO, 407865, 6524940 
10/13/2016,, BRASIL, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 22, SALTO, SALTO, 408500, 6527145 
12/21/2016,, MINUANO (INE 110), CAÍDA, LEVE, MIÉRCOLES, 8, RIVERA, RIVERA, 641440, 6580485 
4/27/2016,, PAUL HARRIS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 16, TACUAREMBO, TACUAREMBO, 597135, 6491600 
7/27/2016,, ITUZAINGO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 11, TACUAREMBO, TACUAREMBO, 596560, 6491000 
1/14/2016,, RUTA 30 KM 250, DESPISTE, LEVE, JUEVES, 8, RIVERA, TRANQUERAS, 618320, 6549850 
5/18/2016,, PARAGUAY, CAÍDA, LEVE, MIÉRCOLES, 15, ARTIGAS, ARTIGAS, 550740, 6635495 
7/14/2016,, BENITO SOLARI, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 17, SALTO, SALTO, 407650, 6524290 
2/18/2016,, INTENDENTE ORESTES LANZA, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 12, SALTO, SALTO, 407845, 6525485 
6/8/2016,, JOSE BATLLE Y ORDOÑEZ, ATROPELLO DE ANIMALES, LEVE, MIÉRCOLES, 20, TACUAREMBO, TACUAREMBO, 597890, 6488975 
1/21/2016,, GENERAL MANUEL ORIBE, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 7, TACUAREMBO, TACUAREMBO, 595695, 6491000 
2/11/2016,, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, JUEVES, 0, TACUAREMBO, TACUAREMBO, 596360, 6490645 
12/8/2016,, AVENIDA PASCUAL HARRIAGUE, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 15, SALTO, SIN DATOS, 406700, 6524545 
6/8/2016,, JOSE ENRIQUE RODO, DESPISTE, LEVE, MIÉRCOLES, 13, ARTIGAS, ARTIGAS, 552060, 6634805 
3/3/2016,, CERVANTES, ATROPELLO DE PEATÓN, LEVE, JUEVES, 13, SALTO, SALTO, 408550, 6526470 
