Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
11/8/2016,, F. LOPEZ, ATROPELLO DE ANIMALES, LEVE, MARTES, 15, FLORIDA, FLORIDA, 572220, 6226375 
5/6/2016,, AVENIDA DELTA CASI CEYLAN, CAÍDA, LEVE, VIERNES, 14, SAN JOSE, DELTA DEL TIGRE Y VILLAS, 558535, 6152030 
5/16/2016,, CAMINO LA HERRADURA CASI RUTA 66, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 20, CANELONES, SIN DATOS, 575110, 6162600 
11/28/2016,, NO SE INGRESO, DESPISTE, GRAVE, LUNES, 16, SAN JOSE, SIN DATOS, 542410, 6161420 
3/4/2016,, , COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 19, SAN JOSE, LIBERTAD, 535340, 6166610 
11/4/2016,, NO SE INGRESO, DESPISTE, SIN LESIONADOS, VIERNES, 17, CANELONES, COLONIA NICOLICH, 590460, 6145240 
12/30/2016,, ECUADOR, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 22, CANELONES, SOLYMAR, 592890, 6146270 
3/18/2016,, NO SE INGRESO, DESPISTE, SIN LESIONADOS, VIERNES, 10, CANELONES, EL PINAR, 597130, 6149510 
3/25/2016,, , COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, VIERNES, 6, CANELONES, SAN BAUTISTA, 595660, 6188500 
3/15/2016,, RAMON ALVAREZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 17, CANELONES, SIN DATOS, 570860, 6152885 
12/23/2016,, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 11, CANELONES, TALA, 613800, 6198840 
7/22/2016,, RIVADAVIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 14, COLONIA, COLONIA DEL SACRAMENTO, 422395, 6185465 
10/7/2016,, DOCTOR LUIS BRAUSE, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, VIERNES, 22, CANELONES, CANELONES, 566225, 6180195 
8/12/2016,, VEINTICINCO DE AGOSTO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 15, COLONIA, JUAN LACAZE, 459685, 6189465 
3/1/2016,, BALTASAR BRUM, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 19, CANELONES, PANDO, 594975, 6157505 
10/14/2016,, AVENIDA JULIETA, ATROPELLO DE ANIMALES, SIN LESIONADOS, VIERNES, 15, CANELONES, SALINAS, 606120, 6151305 
10/28/2016,, DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 22, CANELONES, CANELONES, 566190, 6179710 
9/2/2016,, ANTONIO J. CAORSI, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 10, FLORES, TRINIDAD, 509370, 6289620 
