Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
27/9/2017, ABIPONES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 9, MONTEVIDEO, MONTEVIDEO, 580080, 6144550 
19/4/2017, AVENIDA JOSE BELLONI, CAÍDA, GRAVE, MIÉRCOLES, 6, MONTEVIDEO, MONTEVIDEO, 578575, 6146110 
11/10/2017, AVENIDA ITALIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 10, MONTEVIDEO, MONTEVIDEO, 576700, 6138520 
22/10/2017, RUTA 5 , DESPISTE, SIN LESIONADOS, DOMINGO, 21, MONTEVIDEO, MONTEVIDEO, 568240, 6144015 
5/7/2017, DOCTOR VICENTE BASAGOITY, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 9, MONTEVIDEO, MONTEVIDEO, 570625, 6142670 
10/9/2017, RUTA DE ACCESO, CAÍDA, LEVE, DOMINGO, 21, MONTEVIDEO, MONTEVIDEO, 571420, 6141015 
17/5/2017, RIO BRANCO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 15, MONTEVIDEO, MONTEVIDEO, 573400, 6137785 
12/7/2017, BOULEVARD GENERAL ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 16, MONTEVIDEO, MONTEVIDEO, 576355, 6137480 
9/4/2017, DOCTOR PANTALEON PEREZ, ATROPELLO DE ANIMALES, LEVE, DOMINGO, 11, MONTEVIDEO, MONTEVIDEO, 581025, 6142110 
18/6/2017, BOULEVARD GENERAL ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, GRAVE, DOMINGO, 15, MONTEVIDEO, MONTEVIDEO, 576095, 6140725 
31/5/2017, CAMINO CARRASCO, ATROPELLO DE PEATÓN, LEVE, MIÉRCOLES, 13, MONTEVIDEO, MONTEVIDEO, 585325, 6141070 
26/3/2017, BURDEOS, COLISIÓN CON OBSTÁCULO EN CALZADA, GRAVE, DOMINGO, 0, MONTEVIDEO, MONTEVIDEO, 565010, 6139445 
8/1/2017, RAMBLA PRESIDENTE WILSON, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 21, MONTEVIDEO, MONTEVIDEO, 575770, 6136090 
23/4/2017, JOSE POSSOLO, CAÍDA, LEVE, DOMINGO, 18, MONTEVIDEO, MONTEVIDEO, 577195, 6143905 
31/12/2017, PITAGORAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 17, MONTEVIDEO, MONTEVIDEO, 581970, 6139840 
21/5/2017, AVENIDA JOSE BELLONI, COLISIÓN ENTRE VEHÍCULOS, GRAVE, DOMINGO, 16, MONTEVIDEO, MONTEVIDEO, 578890, 6147855 
9/7/2017, AVENIDA DE LAS INSTRUCCIONES, CAÍDA, LEVE, DOMINGO, 12, MONTEVIDEO, SIN DATOS, 581040, 6153255 
12/3/2017, RAMBLA REPUBLICA DE MEXICO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, DOMINGO, 7, MONTEVIDEO, MONTEVIDEO, 586275, 6138595 
1/10/2017, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 2, MONTEVIDEO, MONTEVIDEO, 578850, 6137075 
