Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
10/18/2017,, GENERAL FRUCTUOSO RIVERA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 17, RIO NEGRO, FRAY BENTOS, 378305, 6334635 
3/1/2017,, WILSON FERREIRA ALDUNATE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 18, TACUAREMBO, TACUAREMBO, 596130, 6491135 
4/26/2017,, TREINTA Y TRES ORIENTALES, ATROPELLO DE ANIMALES, LEVE, MIÉRCOLES, 22, SALTO, SALTO, 408145, 6525630 
8/9/2017,, AVENIDA E. GAUTRON, ATROPELLO DE PEATÓN, GRAVE, MIÉRCOLES, 18, SALTO, SALTO, 411715, 6527935 
7/11/2017,, GENERAL FRUCTUOSO RIVERA, CAÍDA, LEVE, MARTES, 20, TACUAREMBO, TACUAREMBO, 596485, 6491070 
3/11/2017,, NO SE INGRESO, DESPISTE, GRAVE, SÁBADO, 20, TACUAREMBO, SIN DATOS, 544670, 6372365 
1/28/2017,, URUGUAY, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 22, SALTO, SALTO, 409260, 6526935 
3/25/2017,, ZONA TORO NEGRO, CAÍDA, LEVE, SÁBADO, 19, SALTO, SIN DATOS, 540450, 6532510 
7/15/2017,, NO SE INGRESO, DESPISTE, LEVE, SÁBADO, 2, PAYSANDU, SIN DATOS, 417780, 6474375 
3/11/2017,, PAYSANDU, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 9, RIVERA, RIVERA, 638330, 6581715 
6/24/2017,, JUNCAL, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 11, SALTO, SALTO, 409160, 6527170 
4/1/2017,, OSIMANI Y LERENA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 19, SALTO, SALTO, 408550, 6527485 
1/7/2017,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 6, PAYSANDU, CONSTANCIA, 405620, 6436350 
4/5/2017,, DOCTOR VICTORINO PEREYRA, CAÍDA, LEVE, MIÉRCOLES, 4, TACUAREMBO, TACUAREMBO, 597490, 6490930 
5/2/2017,, M. LAVALLEJA --BO. J. D. LOPEZ--, ATROPELLO DE PEATÓN, GRAVE, MARTES, 23, TACUAREMBO, TACUAREMBO, 598385, 6492925 
12/20/2017,, S. ERRANDONEA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 19, SALTO, SALTO, 409470, 6527135 
1/4/2017,, NO SE INGRESO, DESPISTE, GRAVE, MIÉRCOLES, 10, ARTIGAS, SIN DATOS, 434230, 6609735 
1/3/2017,, BRASIL, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 16, SALTO, SALTO, 410330, 6526940 
5/17/2017,, OSIMANI Y LERENA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 23, SALTO, SALTO, 408510, 6527240 
5/23/2017,, CALLE 1, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 19, SALTO, SALTO, 409375, 6529120 
10/24/2017,, FLORENCIO SANCHEZ, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MARTES, 9, RIVERA, RIVERA, 638865, 6580645 
12/26/2017,, SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 21, TACUAREMBO, TACUAREMBO, 596215, 6488200 
6/17/2017,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 7, SALTO, SIN DATOS, 416035, 6527670 
12/23/2017,, DIECIOCHO DE MAYO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 10, ARTIGAS, ARTIGAS, 551210, 6637450 
6/6/2017,, VEINTICINCO DE AGOSTO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 15, TACUAREMBO, TACUAREMBO, 596425, 6490855 
9/6/2017,, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 19, TACUAREMBO, TACUAREMBO, 596085, 6490355 
4/26/2017,, VEINTICINCO DE AGOSTO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 19, SALTO, SALTO, 408745, 6526995 
11/1/2017,, JUAN CHUA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 0, SALTO, CONSTITUCION, 419550, 6562225 
6/28/2017,, JOAQUIN SUAREZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 8, SALTO, SALTO, 408155, 6528345 
8/15/2017,, JOAQUIN SUAREZ, CAÍDA, LEVE, MARTES, 12, SALTO, SALTO, 408195, 6528585 
11/22/2017,, JOSE MARIA DAMBOREARENA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 15, RIVERA, RIVERA, 638550, 6582055 
11/28/2017,, AVENIDA BLANDENGUES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 21, SALTO, SALTO, 410135, 6527500 
12/5/2017,, JOAQUIN SUAREZ, CAÍDA, LEVE, MARTES, 12, PAYSANDU, PAYSANDU, 399560, 6425020 
6/7/2017,, ROLDAN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 17, PAYSANDU, NUEVO PAYSANDU, 399125, 6431145 
7/12/2017,, BULEVAR GENERAL ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 17, RIO NEGRO, FRAY BENTOS, 379475, 6333005 
6/14/2017,, NO SE INGRESO, DESPISTE, LEVE, MIÉRCOLES, 18, TACUAREMBO, SIN DATOS, 595910, 6484245 
4/12/2017,, JOSE ELLAURI, ATROPELLO DE ANIMALES, LEVE, MIÉRCOLES, 18, SALTO, SALTO, 414750, 6527425 
