Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
3/18/2017,, ARTIGAS M. RIVAS, CAÍDA, LEVE, SÁBADO, 12, FLORIDA, SARANDI GRANDE, 562240, 6268355 
12/30/2017,, JULIO A. GODAY ECHENIQUE, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 1, DURAZNO, CERRO CHATO, 674505, 6336110 
4/15/2017,, GENERAL APARICIO SARAVIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 19, COLONIA, COLONIA DEL SACRAMENTO, 422955, 6186660 
12/16/2017,, ROGER BALET, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 0, CANELONES, ATLANTIDA, 613335, 6151225 
5/17/2017,, LOS AROMOS ESQ DEMOCRACIA, CAÍDA, GRAVE, MIÉRCOLES, 23, CANELONES, BARROS BLANCOS, 589860, 6151520 
9/23/2017,, CRISTOBAL COLON, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 13, SORIANO, MERCEDES, 404035, 6320465 
12/2/2017,,  AVENIDA PEREZ BUTLER, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 15, CANELONES, EL PINAR, 598790, 6148515 
12/23/2017,, RUTA 8 KM 25 ESQUINA PARAISOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 11, CANELONES, BARROS BLANCOS, 590610, 6153290 
4/15/2017,, CALLE 54, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, SÁBADO, 8, COLONIA, JUAN LACAZE, 458900, 6191250 
6/17/2017,, JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 20, CANELONES, CANELONES, 565935, 6180215 
11/18/2017,, AVENIDA ZORRILLA DE SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 20, CANELONES, SALINAS, 605535, 6151150 
12/23/2017,, CNO LOS ALEMANES , DESPISTE, SIN LESIONADOS, SÁBADO, 18, CANELONES, SIN DATOS, 556280, 6170975 
5/13/2017,, AVENIDA NOGUEIRA ENTRE A Y B, CAÍDA, LEVE, SÁBADO, 19, CANELONES, PINAMAR - PINEPARK, 604885, 6150850 
5/20/2017,, CESAR MAYO GUTIERREZ, ATROPELLO DE PEATÓN, LEVE, SÁBADO, 15, CANELONES, SIN DATOS, 570695, 6155295 
