Fecha	 Calle	 Tipo de Siniestro	 Gravedad	 Dia Semana	 Hora	 Departamento	 Localidad	 X	 Y 
10/2/2017	 AVENIDA OCHO DE OCTUBRE	 COLISIÓN ENTRE VEHÍCULOS	 LEVE	 LUNES	 19	 MONTEVIDEO	 MONTEVIDEO	 578140	 6140200 
3/27/2017	 ORLANDO PEDRAGOSA SIERRA	 CAÍDA	 LEVE	 LUNES	 13	 MALDONADO	 PUNTA DEL ESTE	 688410	 6131040 
11/6/2017	 AVENIDA JOSE BELLONI	 COLISIÓN ENTRE VEHÍCULOS	 LEVE	 LUNES	 11	 MONTEVIDEO	 MONTEVIDEO	 578560	 6146035 
12/11/2017	 AVENIDA DOCTOR LUIS ALBERTO DE HERRERA	 COLISIÓN ENTRE VEHÍCULOS	 LEVE	 LUNES	 21	 MONTEVIDEO	 MONTEVIDEO	 576760	 6140675 
4/3/2017	 JOSE	 COLISIÓN ENTRE VEHÍCULOS	 SIN LESIONADOS	 LUNES	 21	 MALDONADO	 PINARES - LAS DELICIAS	 686570	 6134305 
2/27/2017	 AVENIDA DE LOS GAUCHOS	 COLISIÓN CON OBSTÁCULO EN CALZADA	 SIN LESIONADOS	 LUNES	 17	 MALDONADO	 MALDONADO	 687875	 6136730 
5/16/2017	 DIECIOCHO DE JULIO	 COLISIÓN ENTRE VEHÍCULOS	 LEVE	 MARTES	 19	 COLONIA	 COLONIA DEL SACRAMENTO	 422200	 6185240 
2/20/2017	 DOCTOR LUIS ALBERTO DE HERRERA	 COLISIÓN ENTRE VEHÍCULOS	 LEVE	 LUNES	 0	 DURAZNO	 DURAZNO	 543940	 6306295 
2/27/2017	 LAUREANO ALONSO PEREZ	 COLISIÓN ENTRE VEHÍCULOS	 LEVE	 LUNES	 19	 MALDONADO	 SAN RAFAEL - EL PLACER	 691730	 6132390 
2/20/2017	 CAMINO CORONEL RAIZ	 COLISIÓN ENTRE VEHÍCULOS	 LEVE	 LUNES	 17	 MONTEVIDEO	 MONTEVIDEO	 573115	 6145990 
2/20/2017	 PORTO ALEGRE	 DESPISTE	 LEVE	 LUNES	 15	 ROCHA	 CHUY	 827620	 6266275 
2/13/2017	 MISIONES	 COLISIÓN ENTRE VEHÍCULOS	 GRAVE	 LUNES	 19	 MALDONADO	 PIRIAPOLIS	 658135	 6140745 
1/9/2017	 BUENOS AIRES ESQUINA ARGENTINA 	 COLISIÓN CON OBSTÁCULO EN CALZADA	 LEVE	 LUNES	 6	 CANELONES	 LOS TITANES	 630965	 6150380 
3/20/2017	 AVENIDA GENERAL FLORES	 ATROPELLO DE PEATÓN	 LEVE	 LUNES	 9	 MONTEVIDEO	 MONTEVIDEO	 574645	 6139590 
6/19/2017	 FRUCTUOSO RIVERA	 COLISIÓN ENTRE VEHÍCULOS	 LEVE	 LUNES	 10	 DURAZNO	 DURAZNO	 544225	 6306600 
1/23/2017	  STELLA MARIS	 DESPISTE	 GRAVE	 LUNES	 1	 CANELONES	 LOMAS DE SOLYMAR	 596920	 6145710 
7/17/2017	 FLORENCIA	 COLISIÓN ENTRE VEHÍCULOS	 SIN LESIONADOS	 LUNES	 16	 MONTEVIDEO	 MONTEVIDEO	 581110	 6144910 
5/29/2017	 AVENIDA ITALIA	 COLISIÓN CON OBSTÁCULO EN CALZADA	 LEVE	 LUNES	 13	 MONTEVIDEO	 MONTEVIDEO	 576860	 6138615 
1/30/2017	 TEOFILO COLLAZO	 COLISIÓN ENTRE VEHÍCULOS	 SIN LESIONADOS	 LUNES	 16	 MONTEVIDEO	 MONTEVIDEO	 579275	 6141495 
3/13/2017	 AVENIDA PEREZ BUTLER	 COLISIÓN ENTRE VEHÍCULOS	 GRAVE	 LUNES	 15	 CANELONES	 EL PINAR	 600220	 6148090 
6/26/2017	 CHILE	 COLISIÓN ENTRE VEHÍCULOS	 SIN LESIONADOS	 LUNES	 19	 COLONIA	 NUEVA PALMIRA	 369785	 6251545 
10/9/2017	 AVENIDA DE LAS LEYES	 DESPISTE	 SIN LESIONADOS	 LUNES	 11	 MONTEVIDEO	 MONTEVIDEO	 574200	 6138610 
4/17/2017	 ANFUSO Y CARSIN	 COLISIÓN ENTRE VEHÍCULOS	 LEVE	 LUNES	 16	 MALDONADO	 LA SONRISA	 685630	 6137030 
12/18/2017	 CAMINO CORONEL RAIZ	 COLISIÓN ENTRE VEHÍCULOS	 LEVE	 LUNES	 7	 MONTEVIDEO	 MONTEVIDEO	 573070	 6144965 
12/18/2017	 MONSEÑOR R. DI MARTI	 COLISIÓN ENTRE VEHÍCULOS	 LEVE	 LUNES	 21	 SAN JOSE	 SAN JOSE DE MAYO	 526940	 6200355 
5/29/2017	 PARALELA CAMINO CARRASCO ESQUINA MUNAR 	 COLISIÓN ENTRE VEHÍCULOS	 LEVE	 LUNES	 20	 CANELONES	 PASO CARRASCO	 587435	 6142590 
1/2/2017	 DIECIOCHO DE JULIO	 COLISIÓN ENTRE VEHÍCULOS	 LEVE	 LUNES	 15	 MALDONADO	 MALDONADO	 686500	 6134485 
1/2/2017	 WILSON FERREIRA ALDUNATE	 ATROPELLO DE PEATÓN	 GRAVE	 LUNES	 11	 CANELONES	 SIN DATOS	 571875	 6157260 
2/27/2017	  RUTA NUEVE	 COLISIÓN ENTRE VEHÍCULOS	 SIN LESIONADOS	 LUNES	 9	 MALDONADO	 RUTA 37 Y 9	 661225	 6149560 
11/27/2017	 LOS NOGALES	 COLISIÓN ENTRE VEHÍCULOS	 LEVE	 LUNES	 19	 MONTEVIDEO	 MONTEVIDEO	 566300	 6143935 
12/11/2017	 NO SE INGRESO	 COLISIÓN ENTRE VEHÍCULOS	 SIN LESIONADOS	 LUNES	 10	 ROCHA	 ROCHA	 746515	 6181040 
2/27/2017	 CALLE 6 EL MATE Y RUTA 10	 COLISIÓN ENTRE VEHÍCULOS	 SIN LESIONADOS	 LUNES	 18	 MALDONADO	 BALNEARIO BUENOS AIRES	 700510	 6135780 
3/27/2017	 NO SE INGRESO	 ATROPELLO DE PEATÓN	 GRAVE	 LUNES	 20	 COLONIA	 SIN DATOS	 415120	 6217005 
5/29/2017	 AVENIDA JOSE BELLONI	 COLISIÓN ENTRE VEHÍCULOS	 LEVE	 LUNES	 8	 MONTEVIDEO	 MONTEVIDEO	 578720	 6146925 
4/3/2017	 CARMELO COLMAN	 COLISIÓN ENTRE VEHÍCULOS	 LEVE	 LUNES	 7	 TREINTA Y TRES	 TREINTA Y TRES	 744840	 6320185 
8/7/2017	 RUTA 21	 CAÍDA	 LEVE	 LUNES	 17	 SORIANO	 SIN DATOS	 389265	 6291140 
8/21/2017	 RUTA 63 KM 19	 DESPISTE	 LEVE	 LUNES	 12	 CANELONES	 SIN DATOS	 571655	 6194035 
1/30/2017	 CAMINO A LOS HORNEROS	 COLISIÓN ENTRE VEHÍCULOS	 SIN LESIONADOS	 LUNES	 19	 CANELONES	 VILLA EL TATO	 594025	 6151155 
3/20/2017	 VEINTICINCO DE MAYO	 COLISIÓN ENTRE VEHÍCULOS	 SIN LESIONADOS	 LUNES	 10	 LAVALLEJA	 MINAS	 662120	 6194650 
6/9/2017	 DOCTOR RUBINO	 COLISIÓN ENTRE VEHÍCULOS	 SIN LESIONADOS	 VIERNES	 23	 DURAZNO	 DURAZNO	 545090	 6305560 
8/28/2017	 AVENIDA MARISCAL FRANCISCO SOLANO LOPEZ	 COLISIÓN ENTRE VEHÍCULOS	 GRAVE	 LUNES	 18	 MONTEVIDEO	 MONTEVIDEO	 580120	 6138325 
2/6/2017	 CERRO LARGO	 COLISIÓN ENTRE VEHÍCULOS	 LEVE	 LUNES	 16	 MONTEVIDEO	 MONTEVIDEO	 575025	 6137980 
12/25/2017	 NO SE INGRESO	 COLISIÓN ENTRE VEHÍCULOS	 SIN LESIONADOS	 LUNES	 17	 CANELONES	 PARQUE DEL PLATA	 618265	 6153930 
